index,row,seller,marketplace,status,screenshot,url,error
1,4,"GERVENT",Ozon,ok,"C:\\Users\\HONOR\\Documents\\Codex\\2026-06-18\\files-mentioned-by-the-user-17062026\\outputs\\screenshots\\screenshots_2026-06-25T08-13-18-664Z\\01_row4_GERVENT_Ozon.jpg","https://www.ozon.ru/seller/gervent-rus/",""
2,4,"GERVENT",Wildberries,ok,"C:\\Users\\HONOR\\Documents\\Codex\\2026-06-18\\files-mentioned-by-the-user-17062026\\outputs\\screenshots\\screenshots_2026-06-25T08-13-18-664Z\\02_row4_GERVENT_Wildberries.jpg","https://www.wildberries.ru/seller/99163",""
3,4,"GERVENT",YandexMarket,ok,"C:\\Users\\HONOR\\Documents\\Codex\\2026-06-18\\files-mentioned-by-the-user-17062026\\outputs\\screenshots\\screenshots_2026-06-25T08-13-18-664Z\\03_row4_GERVENT_YandexMarket.jpg","https://market.yandex.ru/search?generalContext=t%3Dmerchant%3Bi%3D1%3Bmrch%3D201194535%3B&rs=eJwzkv_EKMPBKLDwEKsEg8ac7s2yGmu-f1HWON_-V1Zj5tTNsgC4kQy5&merchant-filter=201194535",""
4,6,"Rosventorg",Wildberries,ok,"C:\\Users\\HONOR\\Documents\\Codex\\2026-06-18\\files-mentioned-by-the-user-17062026\\outputs\\screenshots\\screenshots_2026-06-25T08-13-18-664Z\\04_row6_Rosventorg_Wildberries.jpg","https://www.wildberries.ru/seller/75905?sort=popular&page=1&fbrand=310570516",""
5,6,"Rosventorg",YandexMarket,ok,"C:\\Users\\HONOR\\Documents\\Codex\\2026-06-18\\files-mentioned-by-the-user-17062026\\outputs\\screenshots\\screenshots_2026-06-25T08-13-18-664Z\\05_row6_Rosventorg_YandexMarket.jpg","https://market.yandex.ru/search?generalContext=t%3Dmerchant%3Bi%3D1%3Bmrch%3D1229687%3B&rs=eJwzEv7EKMDBKLDwEKsEg8bZ06wae4-yAgA8ugZW&merchant-filter=1229687",""
6,7,"Meres",Ozon,ok,"C:\\Users\\HONOR\\Documents\\Codex\\2026-06-18\\files-mentioned-by-the-user-17062026\\outputs\\screenshots\\screenshots_2026-06-25T08-13-18-664Z\\06_row7_Meres_Ozon.jpg","https://www.ozon.ru/seller/meres-1137985/brand/rotatsionnyy-deflektor-100469097/",""
7,7,"Meres",Wildberries,ok,"C:\\Users\\HONOR\\Documents\\Codex\\2026-06-18\\files-mentioned-by-the-user-17062026\\outputs\\screenshots\\screenshots_2026-06-25T08-13-18-664Z\\07_row7_Meres_Wildberries.jpg","https://www.wildberries.ru/seller/4074337?sort=popular&page=1&fbrand=310570515",""
8,8,"MERES",Ozon,ok,"C:\\Users\\HONOR\\Documents\\Codex\\2026-06-18\\files-mentioned-by-the-user-17062026\\outputs\\screenshots\\screenshots_2026-06-25T08-13-18-664Z\\08_row8_MERES_Ozon.jpg","https://www.ozon.ru/seller/meres/brand/rotatsionnyy-deflektor-100469097/",""
9,8,"MERES",Wildberries,ok,"C:\\Users\\HONOR\\Documents\\Codex\\2026-06-18\\files-mentioned-by-the-user-17062026\\outputs\\screenshots\\screenshots_2026-06-25T08-13-18-664Z\\09_row8_MERES_Wildberries.jpg","https://www.wildberries.ru/seller/101482?sort=popular&page=1&fbrand=310570515",""
10,8,"MERES",YandexMarket,ok,"C:\\Users\\HONOR\\Documents\\Codex\\2026-06-18\\files-mentioned-by-the-user-17062026\\outputs\\screenshots\\screenshots_2026-06-25T08-13-18-664Z\\10_row8_MERES_YandexMarket.jpg","https://market.yandex.ru/business--ip-miuresov-g-iu/944467?generalContext=t%3DshopInShop%3Bi%3D1%3Bbi%3D944467%3B&rs=eJwzUvnEqMjBKLDwEKsEg8bH9s2yGnO6gcSa71-UNWZOBbKez_vEBgD_eA9A&searchContext=sins_ctx&glfilter=7893318%3A23597010",""
